date,ess,llm_sentiment,tangibility,relevance,composite
2023-01-03,-0.038508,-0.0231195,-0.010129499999999998,-0.0014774999999999996,-0.027336
2023-01-04,0.02417385714285714,-0.0020529285714285805,0.003186699999999997,0.003186699999999997,0.003186699999999997
2023-01-05,0.0020323928571428576,0.0011872285714285696,-0.01370214285714286,-0.010902285714285719,-0.01370214285714286
2023-01-06,-0.008261272727272725,,-0.011737333333333334,-0.0070862142857142894,-0.009467500000000002
2023-01-09,0.016265910714285712,0.005010214285714285,-0.01507094642857143,-0.01833744642857143,-0.013938571428571429
2023-01-10,0.005658866666666665,0.0147833,,,
2023-01-11,-0.01093157142857143,-0.0035019999999999964,0.006182000000000002,0.007242682539682544,0.0015431428571428558
2023-01-12,-0.008070047619047619,,0.004529285714285713,0.004529285714285713,0.004729714285714285
2023-01-17,0.007442666666666665,0.012534300000000002,0.005844499999999999,0.0035093333333333313,0.005844499999999999
2023-01-18,0.0037012857142857142,,0.0029425357142857152,0.005054785714285715,0.005054785714285715
2023-01-19,-0.0002480416666666707,,-0.007690285714285712,-0.007690285714285712,-0.007690285714285712
2023-01-20,-0.0212495,-0.0212495,-0.0060147142857142795,-0.0019754999999999946,-0.007504999999999991
2023-01-23,-0.0047210793650793665,0.006790428571428571,-0.013802428571428573,-0.007045285714285714,-0.012613
2023-01-24,-0.0010257499999999998,0.001119375,-0.00573125,-0.009236267857142856,-0.007745767857142857
2023-01-25,-0.004857063492063492,-0.002305714285714286,0.0043031746031746,0.0043031746031746,0.0043031746031746
2023-01-26,0.01651626373626374,,0.01501594642857143,-0.008155196428571428,-0.008155196428571428
2023-01-27,0.005757071428571431,,-0.005025077922077924,-0.005025077922077924,-0.005025077922077924
2023-01-30,0.00847925,,0.013306666666666668,0.018368,0.017593666666666664
2023-01-31,-0.016837023809523812,-0.021026033333333336,-0.005408999999999997,-0.011122809523809528,-0.005408999999999997
2023-02-01,-0.031026142857142863,-0.02871226373626374,0.04066298214285714,0.046492124999999995,0.046492124999999995
2023-02-02,0.021382857142857144,-0.009189362637362645,0.04162217857142858,-0.019222285714285716,0.011124285714285712
2023-02-03,0.019219238095238095,,-0.010119158730158728,0.004242126984126984,0.004242126984126984
2023-02-06,0.0076167000000000006,0.011598299999999999,-0.031601500000000005,0.007011523809523815,-0.031601500000000005
2023-02-07,,-0.023448666666666666,0.008415999999999998,0.007048166666666666,0.007048166666666666
2023-02-08,0.020934075,,-0.02036569318181818,-0.02036569318181818,-0.02036569318181818
2023-02-09,-0.003411694444444443,,,0.0051292,
2023-02-10,-0.010923314285714282,,,,
2023-02-13,-0.034626961038961034,,-0.028520952380952376,-0.02369866666666666,-0.027096666666666658
2023-02-14,0.00409928571428571,0.022394233333333336,,,
2023-02-15,-0.007344571428571433,-0.004834350649350647,-0.003518714285714288,-0.00013833928571428677,-0.00176442857142858
2023-02-16,0.002335642857142859,,,,
2023-02-17,-0.009160222222222222,-0.011068149999999999,-0.0245538,-0.009609800000000002,-0.009609800000000002
2023-02-21,0.006790458333333333,0.007412333333333333,0.009044722222222223,-0.007341500000000001,0.0008884999999999998
2023-02-22,0.0009039571428571432,0.018720961038961044,-0.0007595714285714272,-0.0007595714285714272,-0.0007595714285714272
2023-02-23,-0.013911714285714288,-0.021607500000000005,-0.01735257142857143,-0.01735257142857143,-0.01735257142857143
2023-02-24,1.0989010989010577e-05,,,,
2023-02-27,0.003559666666666666,0.0038922666666666664,0.008207533333333334,0.006195833333333333,0.006195833333333333
2023-02-28,-0.008745933333333334,,,,
2023-03-01,-0.021299126984126983,-0.00024685714285714415,-0.019565,-0.027307738095238097,-0.019565
2023-03-02,0.04862633333333331,0.04907489393939393,0.00028449999999999656,0.04988383333333331,0.04988383333333331
2023-03-03,0.0081502,,0.0027096999999999993,0.0019465571428571421,0.00018227142857142695
2023-03-06,-0.008113821428571427,,,,
2023-03-07,-0.007265444444444442,-0.006482033333333335,,,
2023-03-08,0.008275914285714284,0.0024765142857142847,-0.009977799999999995,-0.009977799999999995,-0.009977799999999995
2023-03-10,-0.01464091111111111,-0.0025517142857142865,,0.005505766666666665,
2023-03-13,0.012653530303030298,,-7.811111111110866e-05,-7.811111111110866e-05,-7.811111111110866e-05
2023-03-14,-0.0005011999999999994,,0.01598988888888889,0.01598988888888889,0.01598988888888889
2023-03-15,-0.01149395000000001,-0.001624400000000005,0.022394904761904758,0.017476250000000002,0.02247457142857143
2023-03-16,0.006207500000000001,0.011919654761904762,0.012591839285714286,0.012417291666666667,0.014889410714285714
2023-03-20,-0.0022961333333333337,-0.0016311333333333278,-0.0009216666666666696,0.006744499999999997,-0.0033488333333333373
2023-03-21,0.002609166666666664,0.005654458333333331,0.01266483333333333,0.01266483333333333,0.01266483333333333
2023-03-22,0.0015459999999999988,4.555555555555563e-05,-0.0017892916666666717,0.00029797499999999894,0.0008697083333333334
2023-03-23,0.000768041666666667,,,,
2023-03-24,-0.013585250000000004,0.006386955555555556,,,
2023-03-27,-0.0029116666666666666,-0.003118000000000001,-0.007422666666666665,-0.005372666666666665,-0.005417666666666666
2023-03-28,-0.012674833333333335,,,,
2023-03-29,-0.0032207999999999994,0.006791750000000003,-0.0006878666666666668,0.00027933333333333456,-0.0006878666666666668
2023-03-30,-0.00989771428571429,,,,
2023-04-03,0.01929425,,-0.038396944444444435,-0.0460036111111111,-0.038396944444444435
2023-04-04,0.005925525000000004,,,-0.029937017857142853,-0.029937017857142853
2023-04-05,0.00045216666666667016,0.0034322857142857124,0.013286285714285716,0.02150314285714286,0.015050571428571429
2023-04-06,-0.02327842857142857,-0.010056846153846156,0.002116285714285713,0.009727057142857144,-0.00021471428571428683
2023-04-10,-0.011721833333333334,,,,
2023-04-11,0.013718600000000001,0.0164202,,,
2023-04-12,0.008338799999999997,0.007474699999999997,,,
2023-04-13,-0.008922416666666667,0.0036742333333333347,0.007825071428571428,0.008356404761904761,0.007825071428571428
2023-04-14,-0.02060846666666667,,,,
2023-04-17,-0.0020411999999999995,,-0.004170597402597404,-0.004170597402597404,-0.004170597402597404
2023-04-18,0.011981314285714287,0.004623285714285714,0.011058196428571428,0.005313767857142857,0.011058196428571428
2023-04-19,0.007502888888888888,0.0015901153846153843,0.010155285714285716,0.012023196428571428,0.011369428571428572
2023-04-20,0.009786277777777776,0.011874626373626372,-0.0036664464285714286,-0.004622428571428572,-0.004622428571428572
2023-04-21,-0.00479705,,,,
2023-04-24,0.001214089285714287,,5.728571428571458e-05,-0.0018141428571428544,5.728571428571458e-05
2023-04-25,-0.0023208571428571436,0.0052793846153846155,-0.0020436964285714277,0.00816644642857143,0.00816644642857143
2023-04-26,0.009130460317460322,0.005531412698412702,0.024562285714285717,0.040764428571428576,0.022301714285714286
2023-04-27,0.006275800000000003,0.008952574999999999,0.005445399999999998,0.0010161999999999984,-0.001086199999999999
2023-04-28,-0.015523750000000001,0.005145514285714286,-0.010420800000000001,-0.010420800000000001,-0.010420800000000001
2023-05-01,-0.005423171428571426,,,,
2023-05-02,0.012276685714285716,0.014309166666666668,0.008130000000000002,0.00672566666666667,0.022125000000000002
2023-05-03,0.007401777777777778,,0.010555785714285712,0.007603558441558439,0.010555785714285712
2023-05-04,0.0021092857142857146,-0.002418761904761908,-0.005380285714285709,-0.0018588571428571413,-0.0018588571428571413
2023-05-05,-0.0112576,-0.006926125,,,
2023-05-08,-0.02457396666666667,,-0.022663222222222223,-0.022663222222222223,-0.022663222222222223
2023-05-09,0.017324000000000006,0.0017307222222222238,0.014729333333333334,0.00981516666666667,0.0109805
2023-05-10,0.014099666666666665,0.01332461111111111,0.0108455,0.006532166666666665,0.006532166666666665
2023-05-11,-0.005552333333333331,,0.006536,0.009104,0.009104
2023-05-12,0.006408416666666665,,,,
2023-05-15,0.009063833333333333,,,0.002036766666666667,0.002036766666666667
2023-05-16,-0.003909136363636365,-0.002017454545454548,-0.01766016666666667,-0.01821466666666667,-0.016969
2023-05-17,-0.025776666666666666,-0.009238166666666662,-0.011007666666666669,-0.011007666666666669,-0.011007666666666669
2023-05-18,-0.0013276333333333314,-0.001359916666666669,-0.002270366666666667,-0.00039200000000000085,0.005180033333333332
2023-05-19,0.006347425,,,,
2023-05-22,-0.007764833333333334,-0.0004129047619047619,-0.003169499999999998,-0.002623333333333331,-0.0046784999999999995
2023-05-23,-0.016546232142857144,0.00023461363636363523,0.010655476190476191,0.015325333333333333,0.010357958333333334
2023-05-24,0.04628614285714286,0.07702874285714284,-0.0065162857142857245,-0.008560571428571424,0.012871142857142852
2023-05-25,-0.010970166666666656,-0.01022166666666666,-0.003761666666666663,-0.013037833333333339,-0.006088166666666665
2023-05-26,,,,-0.004486500000000004,-0.008651095238095242
2023-05-30,-0.02296454761904762,-0.0138556,0.001689119047619047,0.009864261904761903,0.001689119047619047
2023-05-31,0.0036191714285714275,,0.0034014285714285704,0.0034014285714285704,0.0059287142857142846
2023-06-01,0.014099666666666667,0.008051333333333334,-0.02220702380952381,-0.03506825,-0.027937657142857144
2023-06-02,-0.022568190476190474,,-0.007420857142857142,-0.007420857142857142,-0.007420857142857142
2023-06-05,-0.007452482142857143,-0.0019303956043956062,0.004732607142857144,0.004315982142857144,0.004732607142857144
2023-06-06,-0.018477833333333336,-0.007058333333333337,0.022046833333333335,0.022046833333333335,0.022046833333333335
2023-06-07,0.013803000000000003,0.015726030303030304,,0.017821250000000004,
2023-06-08,0.003031583333333334,0.010998015151515151,-0.007486999999999999,-0.0011294999999999986,-0.0011294999999999986
2023-06-09,-0.009387673076923078,,,,
2023-06-12,-0.01771557142857143,-0.014632974025974025,-0.02802,-0.02876371428571429,-0.02876371428571429
2023-06-13,0.012441666666666667,0.01325759090909091,0.020029166666666667,0.012847833333333334,0.016911166666666665
2023-06-14,0.006613048076923079,0.00828204545454545,,,
2023-06-15,-0.004074333333333329,,,-0.006999309523809524,-0.006999309523809524
2023-06-16,-0.009250125,0.006296450549450549,-0.0057781944444444434,,-0.0006444444444444423
2023-06-20,0.008334999999999999,0.006911649350649356,0.012393095238095238,0.016938285714285715,0.016938285714285715
2023-06-21,0.004652,0.003293,0.022790333333333333,0.02795933333333333,0.013830833333333332
2023-06-22,0.0024235000000000003,-0.007565733333333333,0.007707166666666667,0.009338666666666665,0.004785333333333333
2023-06-23,-0.0180444,-0.026820399999999994,-0.02288262857142857,-0.02288262857142857,-0.02288262857142857
2023-06-26,-0.002971624999999995,-0.0018100219780219813,-0.007308107142857144,-0.011693821428571428,-0.008756964285714285
2023-06-27,-0.01677442857142857,-0.006188555555555555,-0.007744000000000001,-0.007372107142857144,-0.008641285714285716
2023-06-28,-0.008722032967032967,,,,
2023-06-29,-0.00010571428571428364,-0.009292028846153846,-0.010544844155844158,-0.00944239772727273,-0.00944239772727273
2023-06-30,-0.0055323333333333335,,,,
2023-07-03,0.0003923809523809535,,,,
2023-07-05,0.012397333333333333,-0.002537166666666666,-0.005927333333333333,-0.003137333333333334,-0.003137333333333334
2023-07-06,-0.004263071428571429,,-0.0031980416666666663,-0.0031980416666666663,-0.0031980416666666663
2023-07-07,-0.028993333333333336,,,,
2023-07-10,-0.005559325,,,,
2023-07-11,0.0038828441558441534,0.006023028571428574,0.013639571428571428,0.013639571428571428,0.013639571428571428
2023-07-12,-0.010189333333333333,,0.0007419999999999996,0.0012478333333333334,0.0012478333333333334
2023-07-13,0.0011238888888888882,,,,
2023-07-14,-0.012484928571428574,-0.010079285714285714,,-0.0035732571428571426,
2023-07-17,-0.005057250000000002,0.006638272727272728,-0.0009466428571428577,-0.0009466428571428577,-0.0009466428571428577
2023-07-18,0.0019374285714285713,-0.0047195,-0.014623339285714286,-0.012738,-0.01019269642857143
2023-07-19,-0.002976285714285716,-0.007802942857142857,-0.019630589285714282,-0.019630589285714282,-0.019630589285714282
2023-07-20,0.0010111428571428572,0.009821988095238095,0.01745885714285714,0.0176615,0.01940971428571428
2023-07-21,0.0021089428571428584,0.003424733333333334,0.0087554,,0.0087554
2023-07-24,-0.016381714285714284,-0.005208934065934065,-0.0005840634920634916,-0.007165206349206349,-0.0005840634920634916
2023-07-25,0.0012900000000000003,0.009307,-0.004607000000000001,-0.004607000000000001,-0.004607000000000001
2023-07-26,,,-0.008117,-0.0015713333333333339,-0.008117
2023-07-27,-0.013082500000000004,-0.00384025,0.012008499999999995,0.004202833333333333,0.008712333333333332
2023-07-28,-0.013435575,0.0103926,,,
2023-07-31,-0.010655714285714286,-0.00016059999999999902,0.011281571428571429,0.002750428571428572,0.011281571428571429
2023-08-01,0.011932666666666668,,,,
2023-08-02,0.031157357142857146,0.02347607142857143,,0.028004202380952383,0.028289160714285715
2023-08-03,0.006827396825396826,0.011013766233766233,0.012458571428571428,0.023782,0.018444761904761908
2023-08-04,-0.0065474999999999995,,,,
2023-08-07,-0.02306359999999999,-0.03364984999999999,-0.019464999999999993,-0.019593199999999995,-0.019464999999999993
2023-08-08,-0.020345514285714284,,-0.011210600000000005,-0.011814857142857144,-0.011814857142857144
2023-08-09,-0.005607833333333333,-0.013375999999999999,0.014769952380952382,0.013994666666666667,0.013994666666666667
2023-08-10,0.008027166666666665,0.014018833333333333,-0.0003351666666666659,-0.015518600000000002,-0.0013707499999999987
2023-08-11,-0.015187666666666665,-0.010251100000000003,,,-0.013383749999999998
2023-08-14,0.010300000000000002,,,,0.006770725
2023-08-15,-0.0027116233766233747,-0.007676755555555553,-0.005540194805194803,-0.005540194805194803,-0.009653428571428568
2023-08-16,0.028950714285714288,0.016508866666666667,0.011624199999999998,0.011653199999999997,0.016099799999999997
2023-08-17,-0.009469055555555553,-0.012614066666666666,-0.0025185,-0.0025185,-0.0026511
2023-08-18,0.004242833333333329,0.01756926666666666,,,
2023-08-21,-0.015311357142857142,,-0.002577857142857142,-0.002577857142857142,-0.002577857142857142
2023-08-22,-0.007902699999999999,,-0.004867690476190477,-0.004867690476190477,-0.004867690476190477
2023-08-23,0.024950619047619048,,,,
2023-08-24,-0.005057957142857141,,,,
2023-08-25,-0.0009819166666666657,,,0.0032587999999999975,0.002584388888888888
2023-08-28,0.014424666666666669,,,,
2023-08-29,,,-0.006544114285714286,-0.006544114285714286,-0.006544114285714286
2023-08-30,-0.0047708333333333335,,0.01831561111111111,0.012782777777777778,0.012782777777777778
2023-08-31,0.002227077922077922,0.004046285714285715,,0.003014142857142857,0.003014142857142857
2023-09-01,-0.0075377000000000005,,-0.002890533333333333,,-0.002890533333333333
2023-09-05,0.0054047023809523816,,,,
2023-09-06,-0.007050833333333334,-0.006949833333333333,,,
2023-09-07,0.0015791666666666662,0.003426733333333333,0.009140833333333334,0.0082415,0.0082415
2023-09-08,-0.0021307500000000007,-0.002231499999999999,0.0033009166666666655,0.004616449999999998,0.0007900833333333336
2023-09-11,0.004598833333333335,-0.022930999999999997,-0.009582166666666668,-0.008795000000000002,-0.008795000000000002
2023-09-12,0.0020399999999999993,0.0023616904761904773,0.0066531688311688335,,0.0066531688311688335
2023-09-13,0.0042021,0.00042148484848484984,0.003675999999999998,0.003658666666666665,0.003675999999999998
2023-09-14,0.007198945054945057,0.011758511904761904,0.016888587301587307,0.017665444444444445,0.017665444444444445
2023-09-15,-0.00046025974025973987,-0.0031522857142857142,,,
2023-09-18,0.0044575,0.0039157333333333325,,0.00041357142857142894,0.00041357142857142894
2023-09-19,-0.014850785714285716,-0.003932666666666669,-0.0065838831168831165,-0.004989883116883115,-0.004989883116883115
2023-09-20,0.009099299999999998,-0.0003071111111111087,0.011910833333333336,0.014560166666666673,0.014560166666666673
2023-09-21,-0.0033882666666666663,,,-0.00031124999999999946,
2023-09-22,-0.0033419583333333326,-0.007710366666666667,0.006914261904761905,-0.0021177380952380953,0.006914261904761905
2023-09-25,0.004994571428571428,,0.003126542857142856,0.0020302571428571434,0.0020302571428571434
2023-09-26,-0.006195787878787879,-0.0015814090909090917,-0.005638249999999999,-0.006640749999999999,-0.006640749999999999
2023-09-27,0.022679425000000003,,0.027676999999999997,0.013576799999999998,0.029143399999999996
2023-09-28,0.0079305,,,,
2023-10-02,-0.006448214285714283,,,,
2023-10-03,-0.014658766666666663,-0.011104250000000001,,,-0.007958666666666668
2023-10-04,-0.0054698,-0.0013927750000000002,-0.0052709,-0.0052709,-0.0052709
2023-10-06,-0.011753714285714284,,-0.0056952261904761915,-0.0056952261904761915,-0.006543226190476191
2023-10-10,0.0005933333333333329,-0.0054304935064935075,-0.008270333333333334,-0.008632,-0.008632
2023-10-11,-0.013748033333333336,-0.020180450000000003,-0.0022250857142857143,,
