strategy,mean_daily_ret,std_daily_ret,annualised_ret,annualised_std,annualised_sharpe,n_days
ess,-0.0007840358884141338,0.014987180634060947,-0.1975770438803617,0.23791411687037156,-0.8304553192529229,462
llm_sentiment,0.00045703861551449766,0.01498124331186767,0.11517373110965341,0.23781986480250913,0.4842897846455989,341
tangibility,-0.0008310778124908014,0.014091582611049133,-0.20943160874768194,0.2236969390089494,-0.9362292111619084,381
relevance,-0.0010509937148962156,0.014760470137235145,-0.26485041615384636,0.23431519930511774,-1.1303168421821663,390
composite,-0.0008342342908278185,0.013797696004823267,-0.21022704128861028,0.21903163376659093,-0.9598021878092592,398
