date,ess,llm_sentiment,tangibility,relevance,composite,mkt_rf,smb,hml,rf
2023-01-03,-0.038508,-0.0231195,-0.0101294999999999,-0.0014774999999999,-0.027336,-0.004699999999999999,0.0008,-0.001,0.0002
2023-01-04,0.0241738571428571,-0.0020529285714285,0.0031866999999999,0.0031866999999999,0.0031866999999999,0.008100000000000001,0.0054,0.0005,0.0002
2023-01-05,0.0020323928571428,0.0011872285714285,-0.0137021428571428,-0.0109022857142857,-0.0137021428571428,-0.011399999999999999,-0.0018,0.012,0.0002
2023-01-06,-0.0082612727272727,,-0.0117373333333333,-0.0070862142857142,-0.0094675,0.022099999999999998,-0.0005,0.0003,0.0002
2023-01-09,0.0162659107142857,0.0050102142857142,-0.0150709464285714,-0.0183374464285714,-0.0139385714285714,0.0003,0.0055000000000000005,-0.0123,0.0002
2023-01-10,0.0056588666666666,0.0147833,,,,0.0079,0.0091,-0.005600000000000001,0.0002
2023-01-11,-0.0109315714285714,-0.0035019999999999,0.006182,0.0072426825396825,0.0015431428571428,0.0125,0.0017000000000000001,-0.0083,0.0002
2023-01-12,-0.0080700476190476,,0.0045292857142857,0.0045292857142857,0.0047297142857142,0.0045000000000000005,0.0143,-0.0027,0.0002
2023-01-17,0.0074426666666666,0.0125343,0.0058444999999999,0.0035093333333333,0.0058444999999999,-0.0018,0.002,-0.0055000000000000005,0.0002
2023-01-18,0.0037012857142857,,0.0029425357142857,0.0050547857142857,0.0050547857142857,-0.0155,0.0003,-0.0070999999999999995,0.0002
2023-01-19,-0.0002480416666666,,-0.0076902857142857,-0.0076902857142857,-0.0076902857142857,-0.0086,-0.0028000000000000004,0.0084,0.0002
2023-01-20,-0.0212495,-0.0212495,-0.0060147142857142,-0.0019754999999999,-0.0075049999999999,0.0194,0.0014000000000000002,-0.0068000000000000005,0.0002
2023-01-23,-0.0047210793650793,0.0067904285714285,-0.0138024285714285,-0.0070452857142857,-0.012613,0.0128,0.0017000000000000001,-0.009899999999999999,0.0002
2023-01-24,-0.0010257499999999,0.001119375,-0.00573125,-0.0092362678571428,-0.0077457678571428,-0.0016,-0.0022,0.0018,0.0002
2023-01-25,-0.0048570634920634,-0.0023057142857142,0.0043031746031746,0.0043031746031746,0.0043031746031746,0.0,-0.0005,0.0069,0.0002
2023-01-26,0.0165162637362637,,0.0150159464285714,-0.0081551964285714,-0.0081551964285714,0.0108,-0.0058,0.0001,0.0002
2023-01-27,0.0057570714285714,,-0.0050250779220779,-0.0050250779220779,-0.0050250779220779,0.0034000000000000002,0.0063,-0.0113,0.0002
2023-01-30,0.00847925,,0.0133066666666666,0.018368,0.0175936666666666,-0.0138,-0.0012,0.0074,0.0002
2023-01-31,-0.0168370238095238,-0.0210260333333333,-0.0054089999999999,-0.0111228095238095,-0.0054089999999999,0.0158,0.0102,-0.0006,0.0002
2023-02-01,-0.0310261428571428,-0.0287122637362637,0.0406629821428571,0.0464921249999999,0.0464921249999999,0.011899999999999999,0.01,-0.0165,0.0002
2023-02-02,0.0213828571428571,-0.0091893626373626,0.0416221785714285,-0.0192222857142857,0.0111242857142857,0.0154,0.0163,-0.0207,0.0002
2023-02-03,0.019219238095238,,-0.0101191587301587,0.0042421269841269,0.0042421269841269,-0.0108,0.0008,0.0098,0.0002
2023-02-06,0.0076167,0.0115982999999999,-0.0316015,0.0070115238095238,-0.0316015,-0.0073,-0.008199999999999999,0.0043,0.0002
2023-02-07,,-0.0234486666666666,0.0084159999999999,0.0070481666666666,0.0070481666666666,0.0125,-0.0051,-0.0004,0.0002
2023-02-08,0.020934075,,-0.0203656931818181,-0.0203656931818181,-0.0203656931818181,-0.0118,-0.0068000000000000005,0.0070999999999999995,0.0002
2023-02-09,-0.0034116944444444,,,0.0051292,,-0.009399999999999999,-0.0063,0.0021,0.0002
2023-02-10,-0.0109233142857142,,,,,0.0012,-0.0069,0.015,0.0002
2023-02-13,-0.034626961038961,,-0.0285209523809523,-0.0236986666666666,-0.0270966666666666,0.011399999999999999,0.0019,-0.0073,0.0002
